img_rel_path,pid,camid
query/4_c2s5_0.jpg,4,2
query/32_c4s2_6.jpg,32,4
query/20_c3s1_0.jpg,20,3
query/116_c2s3_1.jpg,116,2
query/92_c4s3_2.jpg,92,4
query/89_c6s3_1.jpg,89,6
query/50_c5s4_5.jpg,50,5
query/7_c5s6_5.jpg,7,5
query/179_c2s5_5.jpg,179,2
query/31_c1s2_4.jpg,31,1
query/53_c2s5_0.jpg,53,2
query/147_c6s5_14.jpg,147,6
query/98_c5s2_0.jpg,98,5
query/183_c4s2_9.jpg,183,4
query/84_c6s5_6.jpg,84,6
query/184_c4s6_10.jpg,184,4
query/163_c5s4_0.jpg,163,5
query/61_c1s2_6.jpg,61,1
query/158_c3s3_20.jpg,158,3
query/31_c3s3_13.jpg,31,3
query/74_c4s5_7.jpg,74,4
query/72_c1s5_1.jpg,72,1
query/152_c3s1_3.jpg,152,3
query/173_c1s1_3.jpg,173,1
query/47_c2s3_5.jpg,47,2
query/58_c5s2_2.jpg,58,5
query/3_c3s2_3.jpg,3,3
query/87_c6s3_9.jpg,87,6
query/162_c4s1_13.jpg,162,4
query/167_c3s6_5.jpg,167,3
query/59_c1s3_4.jpg,59,1
query/161_c2s4_9.jpg,161,2
query/180_c3s3_14.jpg,180,3
query/93_c6s2_8.jpg,93,6
query/113_c3s6_6.jpg,113,3
query/185_c1s4_10.jpg,185,1
query/164_c6s3_4.jpg,164,6
query/9_c3s2_3.jpg,9,3
query/23_c5s3_2.jpg,23,5
query/0_c4s6_4.jpg,0,4
query/114_c2s1_3.jpg,114,2
query/13_c4s2_1.jpg,13,4
query/11_c5s3_6.jpg,11,5
query/176_c3s1_4.jpg,176,3
query/62_c6s4_0.jpg,62,6
query/190_c6s5_9.jpg,190,6
query/166_c4s4_11.jpg,166,4
query/167_c5s2_23.jpg,167,5
query/85_c1s4_1.jpg,85,1
query/77_c1s6_0.jpg,77,1
query/83_c6s3_0.jpg,83,6
query/64_c3s4_3.jpg,64,3
query/76_c4s5_6.jpg,76,4
query/37_c1s3_8.jpg,37,1
query/1_c3s2_0.jpg,1,3
query/0_c5s6_5.jpg,0,5
query/75_c6s4_12.jpg,75,6
query/170_c2s5_9.jpg,170,2
query/3_c2s5_0.jpg,3,2
query/52_c3s5_1.jpg,52,3
query/91_c5s6_6.jpg,91,5
query/112_c1s6_5.jpg,112,1
query/76_c3s4_2.jpg,76,3
query/157_c5s5_0.jpg,157,5
query/17_c4s5_14.jpg,17,4
query/129_c4s5_4.jpg,129,4
query/34_c6s2_0.jpg,34,6
query/160_c1s5_8.jpg,160,1
query/69_c6s2_2.jpg,69,6
query/57_c4s6_9.jpg,57,4
query/109_c1s1_1.jpg,109,1
query/156_c2s3_7.jpg,156,2
query/106_c1s4_4.jpg,106,1
query/55_c2s6_7.jpg,55,2
query/67_c3s2_3.jpg,67,3
query/107_c6s6_0.jpg,107,6
query/79_c2s3_7.jpg,79,2
query/111_c6s5_7.jpg,111,6
query/1_c5s5_2.jpg,1,5
query/125_c1s2_6.jpg,125,1
query/18_c1s2_8.jpg,18,1
query/99_c6s5_7.jpg,99,6
query/40_c4s4_0.jpg,40,4
query/36_c4s5_0.jpg,36,4
query/0_c2s2_6.jpg,0,2
query/54_c4s1_4.jpg,54,4
query/137_c2s6_9.jpg,137,2
query/38_c1s3_7.jpg,38,1
query/16_c3s4_0.jpg,16,3
query/10_c4s5_3.jpg,10,4
query/119_c4s1_5.jpg,119,4
query/105_c5s5_5.jpg,105,5
query/41_c3s1_4.jpg,41,3
query/124_c5s6_7.jpg,124,5
query/42_c5s6_5.jpg,42,5
query/23_c2s3_7.jpg,23,2
query/35_c3s4_1.jpg,35,3
query/86_c1s3_6.jpg,86,1
query/97_c4s3_9.jpg,97,4
query/120_c1s3_1.jpg,120,1
query/8_c3s6_5.jpg,8,3
query/39_c5s2_6.jpg,39,5
query/189_c1s5_10.jpg,189,1
