img_rel_path,pid,camid
train/126_c6s4_8.jpg,126,6
train/128_c5s1_1.jpg,128,5
train/139_c5s1_3.jpg,139,5
train/177_c4s2_2.jpg,177,4
train/108_c4s5_9.jpg,108,4
train/71_c4s5_5.jpg,71,4
train/45_c3s2_5.jpg,45,3
train/153_c1s5_9.jpg,153,1
train/178_c4s5_5.jpg,178,4
train/140_c2s5_9.jpg,140,2
train/28_c3s5_2.jpg,28,3
train/132_c5s3_9.jpg,132,5
train/73_c4s6_5.jpg,73,4
train/165_c2s5_5.jpg,165,2
train/134_c5s5_4.jpg,134,5
train/44_c4s6_5.jpg,44,4
train/126_c2s2_6.jpg,126,2
train/80_c1s3_3.jpg,80,1
train/182_c4s5_0.jpg,182,4
train/145_c5s6_6.jpg,145,5
train/142_c6s4_3.jpg,142,6
train/96_c3s3_3.jpg,96,3
train/140_c4s6_6.jpg,140,4
train/128_c5s5_5.jpg,128,5
train/15_c2s2_5.jpg,15,2
train/43_c4s5_0.jpg,43,4
train/46_c2s4_10.jpg,46,2
train/148_c4s4_2.jpg,148,4
train/141_c2s2_3.jpg,141,2
train/110_c5s2_2.jpg,110,5
train/5_c6s6_6.jpg,5,6
train/172_c1s6_12.jpg,172,1
train/88_c1s5_3.jpg,88,1
train/104_c4s6_4.jpg,104,4
train/148_c2s6_11.jpg,148,2
train/49_c4s4_4.jpg,49,4
train/48_c3s2_6.jpg,48,3
train/81_c1s4_9.jpg,81,1
train/2_c6s1_6.jpg,2,6
train/145_c5s2_3.jpg,145,5
train/5_c5s5_5.jpg,5,5
train/104_c4s6_5.jpg,104,4
train/145_c3s5_8.jpg,145,3
train/168_c3s5_2.jpg,168,3
train/169_c4s1_2.jpg,169,4
train/43_c4s5_1.jpg,43,4
train/46_c2s4_11.jpg,46,2
train/121_c2s1_2.jpg,121,2
train/95_c4s4_2.jpg,95,4
train/104_c4s4_7.jpg,104,4
train/126_c1s3_7.jpg,126,1
train/90_c5s4_2.jpg,90,5
train/44_c3s3_8.jpg,44,3
train/68_c4s5_0.jpg,68,4
train/132_c5s3_8.jpg,132,5
train/117_c5s3_4.jpg,117,5
train/66_c1s5_0.jpg,66,1
train/5_c3s4_8.jpg,5,3
train/153_c4s3_3.jpg,153,4
train/159_c3s5_9.jpg,159,3
train/132_c1s5_6.jpg,132,1
train/100_c3s2_2.jpg,100,3
train/165_c6s5_12.jpg,165,6
train/33_c3s4_7.jpg,33,3
train/22_c3s4_5.jpg,22,3
train/26_c6s5_1.jpg,26,6
train/15_c2s4_0.jpg,15,2
train/177_c5s2_4.jpg,177,5
train/169_c1s3_10.jpg,169,1
train/30_c5s3_2.jpg,30,5
train/60_c5s5_1.jpg,60,5
train/127_c4s6_0.jpg,127,4
train/82_c3s1_5.jpg,82,3
train/6_c4s1_8.jpg,6,4
train/88_c6s4_8.jpg,88,6
train/110_c4s6_0.jpg,110,4
train/33_c2s2_4.jpg,33,2
train/56_c2s5_5.jpg,56,2
train/29_c6s6_2.jpg,29,6
train/130_c2s1_2.jpg,130,2
train/88_c2s6_2.jpg,88,2
train/49_c6s5_2.jpg,49,6
train/132_c3s2_7.jpg,132,3
train/68_c4s1_6.jpg,68,4
train/140_c4s4_7.jpg,140,4
train/143_c2s1_0.jpg,143,2
train/123_c1s3_0.jpg,123,1
train/90_c6s1_4.jpg,90,6
train/22_c5s5_8.jpg,22,5
train/65_c1s1_9.jpg,65,1
train/155_c2s4_0.jpg,155,2
train/131_c3s2_8.jpg,131,3
train/178_c6s6_11.jpg,178,6
train/65_c2s5_12.jpg,65,2
train/71_c4s1_3.jpg,71,4
train/122_c5s6_1.jpg,122,5
train/178_c2s6_8.jpg,178,2
train/126_c1s3_4.jpg,126,1
train/81_c6s5_3.jpg,81,6
train/142_c6s2_7.jpg,142,6
train/21_c4s3_4.jpg,21,4
train/110_c2s3_8.jpg,110,2
train/181_c4s5_8.jpg,181,4
train/175_c5s1_1.jpg,175,5
train/145_c4s6_5.jpg,145,4
train/181_c1s1_1.jpg,181,1
train/141_c4s3_8.jpg,141,4
train/65_c4s3_2.jpg,65,4
train/6_c3s4_1.jpg,6,3
train/139_c4s1_0.jpg,139,4
train/144_c1s1_2.jpg,144,1
train/24_c4s5_3.jpg,24,4
train/181_c4s4_14.jpg,181,4
train/19_c5s4_2.jpg,19,5
train/145_c4s4_7.jpg,145,4
train/126_c3s6_1.jpg,126,3
train/63_c1s5_2.jpg,63,1
train/51_c3s2_4.jpg,51,3
train/82_c1s4_1.jpg,82,1
train/133_c4s6_2.jpg,133,4
train/150_c5s5_9.jpg,150,5
train/131_c6s4_7.jpg,131,6
train/153_c6s6_5.jpg,153,6
train/133_c2s1_9.jpg,133,2
train/174_c5s4_9.jpg,174,5
train/136_c1s4_8.jpg,136,1
train/135_c3s5_3.jpg,135,3
train/73_c6s1_0.jpg,73,6
train/14_c4s4_5.jpg,14,4
train/178_c4s3_4.jpg,178,4
train/153_c2s1_12.jpg,153,2
train/150_c3s2_3.jpg,150,3
train/127_c6s1_7.jpg,127,6
train/153_c5s5_6.jpg,153,5
train/110_c5s2_5.jpg,110,5
train/178_c5s3_1.jpg,178,5
train/174_c2s3_6.jpg,174,2
train/104_c5s6_6.jpg,104,5
train/145_c4s4_6.jpg,145,4
train/142_c5s3_2.jpg,142,5
train/172_c4s4_6.jpg,172,4
train/150_c2s4_0.jpg,150,2
train/78_c2s1_1.jpg,78,2
train/101_c5s4_1.jpg,101,5
train/134_c5s5_3.jpg,134,5
train/145_c4s6_4.jpg,145,4
train/188_c5s6_4.jpg,188,5
train/165_c1s6_0.jpg,165,1
train/151_c5s2_13.jpg,151,5
train/188_c1s2_8.jpg,188,1
train/135_c4s6_8.jpg,135,4
train/65_c5s3_6.jpg,65,5
train/139_c5s1_4.jpg,139,5
train/154_c6s5_1.jpg,154,6
train/148_c2s4_13.jpg,148,2
train/25_c2s3_7.jpg,25,2
train/128_c4s3_3.jpg,128,4
train/127_c4s4_4.jpg,127,4
train/66_c2s6_6.jpg,66,2
train/133_c4s2_5.jpg,133,4
train/134_c5s5_1.jpg,134,5
